id,nombre,tipo_cocina,localizacion,descripcion,puntuacion_media,num_valoraciones
1,Fonda Do Sol,japonesa,Málaga,"Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa. Dispone de menú del día con varias alternativas. Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso. Es habitual encontrar productos de temporada en el menú.",4.06,330
2,Burger Bella,gallega,Madrid,"La cocina es visible desde la sala principal. La mayoría de los ingredientes son de proximidad. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial.",4.75,179
3,Ramen Select,mexicana,Bilbao,"La cocina es visible desde la sala principal. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en ramen casero con caldo de larga cocción, resulta ideal para eventos de empresa.",3.9,344
4,Taberna Rica,japonesa,A Coruña,"Especializado en carnes a la brasa de larga maduración, resulta ideal para reuniones informales. Restaurante de cocina vegana situado en un entorno tranquilo y silencioso. La música de fondo crea un ambiente agradable. El espacio combina mesas altas y bajas.",4.37,492
5,Burger Gourmet,vegana,Barcelona,"Restaurante de cocina mexicana situado en un entorno elegante pero cercano. La presentación de los platos está muy cuidada. El servicio es cercano y cuida cada detalle. Especializado en ramen casero con caldo de larga cocción, resulta ideal para brunch de fin de semana.",4.11,96
6,Tandoori Centro,vegana,Zaragoza,"Suele incorporar sugerencias fuera de carta. Especializado en ensaladas healthy con productos de temporada, resulta ideal para brunch de fin de semana. Restaurante de cocina americana situado en un entorno animado y perfecto para grupos. El servicio es cercano y cuida cada detalle.",3.5,390
7,Veggie Galicia,japonesa,Pontevedra,"Especializado en sushi fresco preparado al momento, resulta ideal para eventos de empresa. Restaurante de cocina china situado en un entorno urbano de estilo industrial. La mayoría de los ingredientes son de proximidad. Incluye opciones sin gluten bajo petición.",4.48,243
8,Wok Urbano,vegana,Zaragoza,"Dispone de menú del día con varias alternativas. Restaurante de cocina japonesa situado en un entorno moderno y luminoso. La presentación de los platos está muy cuidada. Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana.",3.99,24
9,Ramen Lumière,italiana,Barcelona,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas de negocio. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. La presentación de los platos está muy cuidada. Incluye opciones sin gluten bajo petición.",4.85,376
10,Sushi Castellana,india,Vigo,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para eventos de empresa. La cocina es visible desde la sala principal. La presentación de los platos está muy cuidada. Restaurante de cocina india situado en un entorno acogedor y cálido.",4.74,112
11,Veggie Do Sol,mexicana,Sevilla,"Suele incorporar sugerencias fuera de carta. Especializado en ensaladas healthy con productos de temporada, resulta ideal para eventos de empresa. Restaurante de cocina americana situado en un entorno acogedor y cálido. Incluye opciones sin gluten bajo petición.",4.8,160
12,Sushi Galicia,vegana,Madrid,"La mayoría de los ingredientes son de proximidad. Ofrece opciones para vegetarianos y celíacos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos. Restaurante de cocina gallega situado en un entorno moderno y luminoso.",4.99,117
13,Pizzería Del Mar,fusión,Madrid,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. Restaurante de cocina china situado en un entorno elegante pero cercano. El servicio es cercano y cuida cada detalle. Es habitual encontrar productos de temporada en el menú.",4.56,20
14,Osteria Viva,healthy,Barcelona,"Restaurante de cocina italiana situado en un entorno tranquilo y silencioso. La relación calidad-precio es uno de sus puntos fuertes. El servicio es cercano y cuida cada detalle. Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja.",4.34,311
15,Osteria Viva,americana,Valencia,"Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana. La cocina es visible desde la sala principal. Suele incorporar sugerencias fuera de carta. Restaurante de cocina japonesa situado en un entorno romántico con iluminación tenue.",4.32,328
16,Pizzería Castellana,fusión,Vigo,"Restaurante de cocina fusión situado en un entorno informal y desenfadado. La relación calidad-precio es uno de sus puntos fuertes. Dispone de menú del día con varias alternativas. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas de negocio.",4.64,493
17,Steakhouse Del Mar,mexicana,Málaga,"Restaurante de cocina india situado en un entorno tranquilo y silencioso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para celebraciones familiares. Incluye opciones sin gluten bajo petición. La presentación de los platos está muy cuidada.",4.39,75
18,Burger Gourmet,americana,Ourense,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en postres caseros inspirados en recetas locales, resulta ideal para reuniones informales. La presentación de los platos está muy cuidada. Restaurante de cocina gallega situado en un entorno moderno y luminoso.",4.36,361
19,Wok Lumière,china,Pontevedra,"Dispone de menú del día con varias alternativas. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina italiana situado en un entorno elegante pero cercano.",4.43,358
20,Burger Del Mar,china,Valencia,"La mayoría de los ingredientes son de proximidad. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en ramen casero con caldo de larga cocción, resulta ideal para celebraciones familiares. Restaurante de cocina fusión situado en un entorno urbano de estilo industrial.",4.4,270
21,Asador Fusión,vegana,Málaga,"Incluye opciones sin gluten bajo petición. Especializado en platos de cuchara tradicionales, resulta ideal para comidas rápidas entre semana. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina india situado en un entorno romántico con iluminación tenue.",4.09,221
22,Asador Bella,italiana,Santiago,"Restaurante de cocina americana situado en un entorno animado y perfecto para grupos. Especializado en carnes a la brasa de larga maduración, resulta ideal para comidas rápidas entre semana. La presentación de los platos está muy cuidada. Cuenta con carta de vinos seleccionada y cervezas artesanas.",4.05,194
23,Pizzería Roma,americana,Bilbao,"Restaurante de cocina mediterránea situado en un entorno elegante pero cercano. El servicio es cercano y cuida cada detalle. Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja. El equipo de cocina apuesta por sabores intensos.",4.08,382
24,Tandoori Atlántico,italiana,Pontevedra,"Especializado en tapas variadas para compartir, resulta ideal para comidas rápidas entre semana. Restaurante de cocina japonesa situado en un entorno urbano de estilo industrial. La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente.",4.69,136
25,Pizzería Bella,india,A Coruña,"La cocina es visible desde la sala principal. La mayoría de los ingredientes son de proximidad. Especializado en sushi fresco preparado al momento, resulta ideal para celebraciones familiares. Restaurante de cocina americana situado en un entorno urbano de estilo industrial.",3.8,156
26,Bistro Galicia,healthy,Vigo,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para cenas en pareja. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina vegana situado en un entorno elegante pero cercano. La cocina es visible desde la sala principal.",3.56,353
27,Bistro Select,japonesa,Barcelona,"Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en platos de cuchara tradicionales, resulta ideal para cenas en pareja. Cuenta con carta de vinos seleccionada y cervezas artesanas. Se pueden adaptar platos al gusto del cliente.",4.38,499
28,Wok Galicia,mexicana,Lugo,"El servicio es cercano y cuida cada detalle. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana. Restaurante de cocina fusión situado en un entorno elegante pero cercano. La presentación de los platos está muy cuidada.",4.98,75
29,Pizzería Atlántico,japonesa,Santiago,"La mayoría de los ingredientes son de proximidad. Incluye opciones sin gluten bajo petición. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. Restaurante de cocina healthy situado en un entorno romántico con iluminación tenue.",4.49,479
